time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
5.634500000011888e-001	1.810718e+000	-3.881912e-005
5.667500000011958e-001	1.679496e+000	-4.072149e-005
5.688500000012002e-001	1.592753e+000	-4.192302e-005
5.696500000012019e-001	1.559054e+000	-4.237884e-005
5.710500000012049e-001	1.499221e+000	-4.317394e-005
5.721500000012072e-001	1.451451e+000	-4.379632e-005
5.730500000012091e-001	1.411879e+000	-4.430399e-005
5.738500000012108e-001	1.376343e+000	-4.475406e-005
5.745500000012123e-001	1.344976e+000	-4.514694e-005
5.752500000012137e-001	1.313361e+000	-4.553895e-005
5.758500000012150e-001	1.286072e+000	-4.587426e-005
5.764500000012163e-001	1.258615e+000	-4.620891e-005
5.769500000012173e-001	1.235610e+000	-4.648729e-005
5.774500000012184e-001	1.212499e+000	-4.676521e-005
5.779500000012194e-001	1.189288e+000	-4.704267e-005
5.784500000012205e-001	1.165987e+000	-4.731966e-005
5.788500000012213e-001	1.147287e+000	-4.754092e-005
5.792500000012222e-001	1.128541e+000	-4.776188e-005
5.796500000012230e-001	1.109756e+000	-4.798254e-005
5.800500000012239e-001	1.090939e+000	-4.820289e-005
5.804500000012247e-001	1.072101e+000	-4.842294e-005
5.808500000012256e-001	1.053250e+000	-4.864268e-005
5.812500000012264e-001	1.034400e+000	-4.886212e-005
5.816500000012272e-001	1.015565e+000	-4.908125e-005
5.820500000012281e-001	9.967597e-001	-4.930007e-005
5.824500000012289e-001	9.780031e-001	-4.951857e-005
5.828500000012298e-001	9.593162e-001	-4.973677e-005
5.832500000012306e-001	9.407224e-001	-4.995464e-005
5.836500000012315e-001	9.222487e-001	-5.017221e-005
5.840500000012323e-001	9.039251e-001	-5.038946e-005
5.844500000012332e-001	8.857854e-001	-5.060638e-005
5.848500000012340e-001	8.678669e-001	-5.082299e-005
5.852500000012348e-001	8.502106e-001	-5.103928e-005
5.856500000012357e-001	8.328613e-001	-5.125524e-005
5.860500000012365e-001	8.158668e-001	-5.147089e-005
5.865500000012376e-001	7.952003e-001	-5.173998e-005
5.870500000012386e-001	7.752713e-001	-5.200856e-005
5.875500000012397e-001	7.561849e-001	-5.227663e-005
5.881500000012410e-001	7.345380e-001	-5.259764e-005
5.889500000012427e-001	7.080706e-001	-5.302448e-005
5.905500000012460e-001	6.643220e-001	-5.387413e-005
5.915500000012481e-001	6.433960e-001	-5.440241e-005
5.922500000012496e-001	6.315048e-001	-5.477092e-005
5.928500000012509e-001	6.229419e-001	-5.508595e-005
5.933500000012519e-001	6.168348e-001	-5.534787e-005
5.938500000012530e-001	6.115587e-001	-5.560925e-005
5.943500000012540e-001	6.070163e-001	-5.587008e-005
5.947500000012549e-001	6.038469e-001	-5.607834e-005
5.951500000012557e-001	6.010412e-001	-5.628626e-005
5.955500000012566e-001	5.985565e-001	-5.649382e-005
5.959500000012574e-001	5.963540e-001	-5.670101e-005
5.963500000012583e-001	5.943980e-001	-5.690785e-005
5.967500000012591e-001	5.926567e-001	-5.711434e-005
5.971500000012600e-001	5.911015e-001	-5.732046e-005
5.975500000012608e-001	5.897073e-001	-5.752622e-005
5.979500000012616e-001	5.884517e-001	-5.773162e-005
5.984500000012627e-001	5.870479e-001	-5.798785e-005
5.989500000012638e-001	5.857983e-001	-5.824351e-005
5.994500000012648e-001	5.846757e-001	-5.849859e-005
5.996500000012652e-001	5.842569e-001	-5.860047e-005
6.001500000012663e-001	5.832751e-001	-5.885474e-005
6.007500000012676e-001	5.822003e-001	-5.915911e-005
6.013500000012688e-001	5.812159e-001	-5.946263e-005
6.020500000012703e-001	5.801564e-001	-5.981567e-005
6.028500000012720e-001	5.790355e-001	-6.021773e-005
6.038500000012741e-001	5.777328e-001	-6.071816e-005
6.050500000012766e-001	5.762703e-001	-6.131552e-005
