time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
2.469402028977166e-001	-2.458592e+000	-4.981682e-005
2.543402028977158e-001	-2.636150e+000	-4.973272e-005
2.610402028977150e-001	-2.746595e+000	-4.882119e-005
2.673402028977143e-001	-2.797158e+000	-4.725279e-005
2.694402028977141e-001	-2.801276e+000	-4.658041e-005
2.753402028977134e-001	-2.776438e+000	-4.430381e-005
2.811402028977128e-001	-2.697762e+000	-4.153085e-005
2.868402028977122e-001	-2.567298e+000	-3.832117e-005
2.924402028977116e-001	-2.388895e+000	-3.473606e-005
2.980402028977109e-001	-2.163340e+000	-3.076315e-005
2.994402028977108e-001	-2.100025e+000	-2.971443e-005
3.049402028977102e-001	-1.826600e+000	-2.540054e-005
3.104402028977096e-001	-1.517789e+000	-2.081282e-005
3.159402028977090e-001	-1.179512e+000	-1.600053e-005
3.214402028977084e-001	-8.183153e-001	-1.101535e-005
3.269402028977078e-001	-4.412011e-001	-5.910805e-006
3.294402028977075e-001	-2.664902e-001	-3.565893e-006
3.332402028977071e-001	9.143721e-004	1.222675e-008
3.333333333333340e-001	7.478490e-003	1.000000e-007
