time	V(n001)	I(C1)
Step Information: X=1  (Run: 1/5)
2.390000000000005e-003	5.740805e-001	4.987275e-005
2.590000000000006e-003	5.840716e-001	4.991220e-005
2.790000000000006e-003	5.939918e-001	4.916450e-005
2.990000000000007e-003	6.036846e-001	4.764144e-005
3.190000000000007e-003	6.129972e-001	4.536706e-005
3.390000000000008e-003	6.217828e-001	4.237720e-005
3.590000000000008e-003	6.299026e-001	3.871904e-005
3.790000000000009e-003	6.372288e-001	3.445025e-005
3.990000000000009e-003	6.436458e-001	2.963816e-005
4.190000000000010e-003	6.490523e-001	2.435866e-005
4.390000000000010e-003	6.533631e-001	1.869501e-005
4.590000000000011e-003	6.565102e-001	1.273652e-005
4.790000000000011e-003	6.584440e-001	6.577179e-006
4.990000000000012e-003	6.591340e-001	3.141076e-007
5.190000000000012e-003	6.585693e-001	-5.953917e-006
5.390000000000013e-003	6.567589e-001	-1.212805e-005
5.590000000000013e-003	6.537311e-001	-1.811091e-005
5.790000000000005e-003	6.495339e-001	-2.380815e-005
5.989999999999997e-003	6.442335e-001	-2.912992e-005
6.189999999999989e-003	6.379132e-001	-3.399230e-005
6.389999999999981e-003	6.306730e-001	-3.831860e-005
6.589999999999973e-003	6.226269e-001	-4.204059e-005
6.789999999999965e-003	6.139019e-001	-4.509958e-005
6.989999999999956e-003	6.046355e-001	-4.744731e-005
7.189999999999948e-003	5.949738e-001	-4.904678e-005
7.389999999999940e-003	5.850694e-001	-4.987275e-005
7.589999999999932e-003	5.750782e-001	-4.991220e-005
7.789999999999924e-003	5.651580e-001	-4.916450e-005
7.989999999999916e-003	5.554652e-001	-4.764144e-005
8.189999999999907e-003	5.461526e-001	-4.536706e-005
8.389999999999899e-003	5.373670e-001	-4.237720e-005
8.589999999999891e-003	5.292472e-001	-3.871904e-005
8.789999999999883e-003	5.219210e-001	-3.445025e-005
8.989999999999875e-003	5.155040e-001	-2.963816e-005
9.189999999999867e-003	5.100975e-001	-2.435866e-005
9.389999999999859e-003	5.057867e-001	-1.869501e-005
9.589999999999850e-003	5.026396e-001	-1.273652e-005
9.789999999999842e-003	5.007058e-001	-6.577179e-006
9.989999999999834e-003	5.000063e-001	-3.141324e-007
1.000000000000000e-002	5.000016e-001	0.000000e+000
